区域,地区,紫色,蓝色,蓝色,绿色,绿色,绿色
稻香村,稻香村,雪莲,燕窝,鱼翅,,,
稻香村口,稻香村,佛珠,粉黛,,米酒,菜,木鱼
芙蕖桥,稻香村,,银耳,,桂花,虾,鱼
香山野林,稻香村,灵芝,,,枸杞,草药,牡丹
稻山山润,稻香村,人参,,,芍药,蛋,蝴蝶
大侠墓,稻香村,,玄铁,,井水,烈酒,
小镜湖,稻香村,虫草,,,萤火虫,莲子,鱼
浩气营地,稻香村,,云板,,马草,金叶子,
香山官道,稻香村,羽衣,辣椒,雪蛤,米酒,风筝,炮竹
纯阳宫,纯阳宫,,茶叶,熏香,枸杞,炮竹,莲子
华山山道,纯阳宫,,银耳,,风筝,,
纯阳山门,纯阳宫,,茶叶,,马草,,
剑园,纯阳宫,纯阳剑牌,葡萄酒,,井水,金叶子,
神策前营,纯阳宫,人参,,,木鱼,,
观微阁,纯阳宫,,雪蛤,粉黛,莲子,蜡烛,米酒
落雁岭,纯阳宫,灵芝,,,莲子,蛋,
神策后营,纯阳宫,佛珠,鱼翅,,菜,,
百尺峡,纯阳宫,佛经,食珍录,,金叶子,,
论剑锋,纯阳宫,虫草,辣椒,,芍药,牡丹,
老君宫,纯阳宫,酒葫芦,纸鸢,,桂花,,
九老洞,纯阳宫,雪莲,玄铁,,萤火虫,草药,
思过崖,纯阳宫,道德经抄本,天灯,粉黛,蝴蝶,虾,烈酒
少林寺,少林寺,鬼谷兵法,文房四宝,,桂花,炮竹,
嵩山古道,少林寺,,茶叶,鱼翅,米酒,,
齐华村,少林寺,佛经,燕窝,,马草,牡丹,
斋堂,少林寺,人参,纸鸢,,鱼,井水,
罗汉堂,少林寺,佛器,,,木鱼,,
梅花桩,少林寺,佛珠,熏香,,蜡烛,,
持国天王殿,少林寺,,,,蛋,草药,
塔林,少林寺,虫草,纸伞,,莲子,,
忘阙坡,少林寺,,辣椒,,虾,蝴蝶,
达摩洞,少林寺,,玄铁,,萤火虫,,
山林后山,少林寺,灵芝,云板,,枸杞,,
紫竹林,少林寺,明光铠,雪蛤,,芍药,,
藏经阁,少林寺,雪莲,天灯,,菜,风筝,
七秀坊,七秀坊,,鱼翅,熏香,木鱼,菜,虾
水云坊,七秀坊,,粉黛,,马草,萤火虫,蝴蝶
画舫,七秀坊,藏宝图,纸伞,,炮竹,马草,米酒
湖盐寨,七秀坊,,玄铁,燕窝,芍药,蝴蝶,
灵龟坞,七秀坊,丝绸,雪蛤,云板,米酒,,
碧霞岛,七秀坊,雪莲,茶叶,,草药,,
黑岩湾,七秀坊,灵芝,,,金叶子,莲子,芍药
燕子崖,七秀坊,,辣椒,,桂花,草药,
灵龟岛,七秀坊,人参,燕窝,茶叶,草药,蛋,菜
幽雨坪,七秀坊,绣球,食珍录,,蜡烛,,
桃花村,七秀坊,梨园乐谱,文房四宝,纸鸢,风筝,牡丹,
绿柳湾,七秀坊,羽衣,,,虾,芍药,井水
青螺山,七秀坊,虫草,,,芍药,枸杞,
天策府,天策府,虎牙令,纸鸢,,桂花,炮竹,
潼关,天策府,,天灯,,蝴蝶,蛋,金叶子
望枫桥,天策府,孔明灯,,,井水,鱼,风筝
枫叶泽,天策府,,,,虾,金叶子,鱼
沁枫谷,天策府,虫草,辣椒,,菜,牡丹,
崤函古道,天策府,明光铠,,,马草,烈酒,
枫华谷,天策府,鬼谷兵法,燕窝,,米酒,,
演武大营,天策府,,文房四宝,,芍药,,
龙飞营,天策府,,熏香,食珍录,蛋,芍药,
上林苑,天策府,人参,茶叶,,草药,,
黑虎山,天策府,灵芝,玄铁,,蝴蝶,,
伏虎前寨,天策府,丝绸,银耳,葡萄酒,,,
伏虎后寨,天策府,,雪蛤,,木鱼,蜡烛,蛋
三星望月,万花谷,,粉黛,,芍药,鱼,
逍遥林,万花谷,虫草,茶叶,,草药,,
黄梁村,万花谷,,纸伞,,米酒,蛋,
落星湖,万花谷,雪莲,鱼翅,,井水,,
生死树,万花谷,,银耳,,枸杞,,
晴昼海,万花谷,人参,燕窝,,,,
揽星潭,万花谷,灵芝,辣椒,,虾,,
寻仙径,万花谷,罗伞,葡萄酒,,蜡烛,,
水月宫,万花谷,梨园乐谱,粉黛,,芍药,莲子,
仙迹岩,万花谷,金针,文房四宝,,蛋,芍药,
天工坊外围,万花谷,,,,蜡烛,芍药,马草
